名前,全体,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,306,-0.0,1547,,,,,
,,,,,,,,,,307,+61.5,1558,,,,,
,,,,,,,,,,308,+8.8,1548,,,,,
,,,,,,,,,,309,-0.0,1546,,,,,
,,,,,,,,,,310,-2.0,1546,,,,,
,,,,,,,,,,311,+35.2,1553,,,,,
,,,,,,,,,,312,-0.0,1547,,,,,
,,,,,,,,,,313,+30.5,1552,,,,,
,,,,,,,,,,314,+34.9,1553,,,,,
,,,,,,,,,,315,-0.0,1546,,,,,
,,,,,,,,,,316,+12.2,1549,,,,,
,,,,,,,,,,317,-40.6,1539,,,,,
,,,,,,,,,,318,-0.0,1547,,,,,
,,,,,,,,,,319,+32.4,1553,,,,,
,,,,,,,,,,320,+48.0,1556,,,,,
,,,,,,,,,,321,-0.0,1547,,,,,
,,,,,,,,,,322,+55.1,1557,,,,,
,,,,,,,,,,323,+35.1,1553,,,,,
,,,,,,,,,,324,-0.0,1547,,,,,
,,,,,,,,,,325,+40.9,1555,,,,,
,,,,,,,,,,326,+31.7,1553,,,,,
,,,,,,,,,,327,-0.0,1548,,,,,
,,,,,,,,,,328,-1.4,1548,,,,,
,,,,,,,,,,329,-18.4,1544,,,,,
,,,,,,,,,,330,-0.0,1547,,,,,
,,,,,,,,,,331,-8.7,1545,,,,,
,,,,,,,,,,332,-35.5,1539,,,,,
,,,,,,,,,,333,-0.0,1545,,,,,
,,,,,,,,,,334,+28.8,1550,,,,,
,,,,,,,,,,335,+41.4,1551,,,,,
,,,,,,,,,,336,-0.0,1543,,,,,
,,,,,,,,,,337,+12.6,1545,,,,,
,,,,,,,,,,338,-28.7,1537,,,,,
,,,,,,,,,,339,-0.0,1542,,,,,
,,,,,,,,,,340,+14.9,1545,,,,,
,,,,,,,,,,341,+42.7,1550,,,,,
,,,,,,,,,,342,-0.0,1542,,,,,
,,,,,,,,,,343,-24.0,1537,,,,,
,,,,,,,,,,344,-25.6,1537,,,,,
,,,,,,,,,,345,-0.0,1541,,,,,
,,,,,,,,,,346,+4.0,1542,,,,,
,,,,,,,,,,347,-24.1,1537,,,,,
,,,,,,,,,,348,-0.0,1542,,,,,
,,,,,,,,,,349,-4.5,1541,,,,,
,,,,,,,,,,350,-34.5,1535,,,,,
,,,,,,,,,,351,-0.0,1541,,,,,
,,,,,,,,,,352,-30.5,1535,,,,,
,,,,,,,,,,353,-33.8,1534,,,,,
,,,,,,,,,,354,-0.0,1540,,,,,
,,,,,,,,,,355,-31.3,1535,,,,,
,,,,,,,,,,356,-6.5,1540,,,,,
,,,,,,,,,,357,-0.0,1541,,,,,
,,,,,,,,,,358,-22.4,1538,,,,,
,,,,,,,,,,359,+3.1,1543,,,,,
,,,,,,,,,,360,-0.0,1542,,,,,
,,,,,,,,,,361,+1.3,1543,,,,,
,,,,,,,,,,362,+26.1,1548,,,,,
,,,,,,,,,,363,-0.0,1543,,,,,
,,,,,,,,,,364,+5.6,1545,,,,,
,,,,,,,,,,365,-19.4,1540,,,,,
,,,,,,,,,,366,-0.0,1544,,,,,
,,,,,,,,,,367,+14.8,1546,,,,,
,,,,,,,,,,368,+14.2,1545,,,,,
,,,,,,,,,,369,-0.0,1542,,,,,
,,,,,,,,,,370,-42.3,1534,,,,,
,,,,,,,,,,371,-49.1,1532,,,,,
,,,,,,,,,,372,±0,1540,,,,,
,,,,,,,,,,373,+11.4,1542,,,,,
,,,,,,,,,,374,+53.4,1549,,,,,
,,,,,,,,,,375,±0,1539,,,,,
,,,,,,,,,,376,+22.2,1543,,,,,
,,,,,,,,,,377,-9.4,1537,,,,,
,,,,,,,,,,378,-0.0,1538,,,,,
,,,,,,,,,,379,+9.1,1540,,,,,
,,,,,,,,,,380,-20.4,1535,,,,,
,,,,,,,,,,381,-0.0,1539,,,,,
,,,,,,,,,,382,-36.1,1532,,,,,
,,,,,,,,,,383,-7.3,1537,,,,,
,,,,,,,,,,384,-0.0,1538,,,,,
,,,,,,,,,,385,-3.0,1537,,,,,
,,,,,,,,,,386,-31.5,1532,,,,,
,,,,,,,,,,387,-0.0,1537,,,,,
,,,,,,,,,,388,+32.5,1543,,,,,
,,,,,,,,,,389,+21.3,1542,,,,,
,,,,,,,,,,390,-0.0,1538,,,,,
,,,,,,,,,,391,-22.4,1534,,,,,
,,,,,,,,,,392,-69.1,1526,,,,,
,,,,,,,,,,393,-0.0,1539,,,,,
,,,,,,,,,,394,+15.2,1542,,,,,
,,,,,,,,,,395,+18.3,1543,,,,,
,,,,,,,,,,396,-0.0,1540,,,,,
,,,,,,,,,,397,+1.6,1541,,,,,
,,,,,,,,,,398,-48.9,1532,,,,,
,,,,,,,,,,399,-0.0,1541,,,,,
,,,,,,,,,,400,+26.8,1547,,,,,
,,,,,,,,,,401,+40.1,1549,,,,,
,,,,,,,,,,402,-0.0,1543,,,,,
,,,,,,,,,,403,-21.3,1538,,,,,
,,,,,,,,,,404,-4.7,1541,,,,,
,,,,,,,,,,405,-0.0,1541,,,,,
,,,,,,,,,,406,-29.9,1536,,,,,
,,,,,,,,,,407,-5.1,1540,,,,,
,,,,,,,,,,408,-0.0,1540,,,,,
,,,,,,,,,,409,-13.8,1537,,,,,
,,,,,,,,,,410,-39.3,1532,,,,,
,,,,,,,,,,411,-0.0,1538,,,,,
,,,,,,,,,,412,+10.9,1540,,,,,
,,,,,,,,,,413,+55.9,1547,,,,,
,,,,,,,,,,414,-0.0,1536,,,,,
,,,,,,,,,,415,+6.0,1537,,,,,
,,,,,,,,,,416,-23.6,1531,,,,,
,,,,,,,,,,417,-0.0,1535,,,,,
,,,,,,,,,,418,-15.3,1533,,,,,
,,,,,,,,,,419,+1.8,1536,,,,,
,,,,,,,,,,420,-0.0,1536,,,,,
,,,,,,,,,,421,+34.6,1543,,,,,
,,,,,,,,,,422,-19.9,1533,,,,,
,,,,,,,,,,423,-0.0,1537,,,,,
,,,,,,,,,,424,-6.5,1536,,,,,
,,,,,,,,,,425,+36.7,1544,,,,,
,,,,,,,,,,426,-0.0,1537,,,,,
,,,,,,,,,,427,-25.3,1533,,,,,
,,,,,,,,,,428,-20.6,1534,,,,,
,,,,,,,,,,429,-0.0,1538,,,,,
,,,,,,,,,,430,-20.9,1535,,,,,
,,,,,,,,,,431,-4.0,1538,,,,,
,,,,,,,,,,432,-0.0,1539,,,,,
,,,,,,,,,,433,+16.5,1542,,,,,
,,,,,,,,,,434,+0.6,1539,,,,,
,,,,,,,,,,435,-0.0,1540,,,,,
,,,,,,,,,,436,+3.5,1541,,,,,
,,,,,,,,,,437,+39.0,1548,,,,,
,,,,,,,,,,438,-0.0,1541,,,,,
,,,,,,,,,,439,-33.0,1536,,,,,
,,,,,,,,,,440,+45.6,1550,,,,,
,,,,,,,,,,441,-0.0,1543,,,,,
,,,,,,,,,,442,-24.1,1538,,,,,
,,,,,,,,,,443,-23.8,1538,,,,,
,,,,,,,,,,444,-0.0,1542,,,,,
,,,,,,,,,,445,+10.3,1543,,,,,
,,,,,,,,,,446,+45.4,1549,,,,,
,,,,,,,,,,447,-0.0,1541,,,,,
,,,,,,,,,,448,+26.7,1545,,,,,
,,,,,,,,,,449,+22.3,1544,,,,,
,,,,,,,,,,450,-0.0,1540,,,,,
,,,,,,,,,,451,-28.9,1534,,,,,
,,,,,,,,,,452,-43.1,1532,,,,,
,,,,,,,,,,453,-0.0,1539,,,,,
,,,,,,,,,,454,+21.5,1543,,,,,
,,,,,,,,,,455,+24.0,1543,,,,,
,,,,,,,,,,456,-0.0,1538,,,,,
,,,,,,,,,,457,-25.1,1533,,,,,
,,,,,,,,,,458,+5.0,1539,,,,,
,,,,,,,,,,459,-0.0,1537,,,,,
,,,,,,,,,,460,+3.0,1538,,,,,
,,,,,,,,,,461,+37.1,1545,,,,,
,,,,,,,,,,462,-0.0,1538,,,,,
,,,,,,,,,,463,-1.9,1538,,,,,
,,,,,,,,,,464,-27.7,1534,,,,,
,,,,,,,,,,465,-0.0,1539,,,,,
,,,,,,,,,,466,+35.9,1546,,,,,
,,,,,,,,,,467,+45.2,1548,,,,,
,,,,,,,,,,468,-0.0,1540,,,,,
,,,,,,,,,,469,+37.4,1547,,,,,
,,,,,,,,,,470,+59.1,1552,,,,,
,,,,,,,,,,471,-0.0,1541,,,,,
,,,,,,,,,,472,-3.5,1541,,,,,
,,,,,,,,,,473,+16.0,1545,,,,,
,,,,,,,,,,474,-0.0,1542,,,,,
,,,,,,,,,,475,+28.1,1547,,,,,
,,,,,,,,,,476,+41.7,1550,,,,,
,,,,,,,,,,477,-0.0,1542,,,,,
,,,,,,,,,,478,+51.9,1551,,,,,
,,,,,,,,,,479,+2.4,1542,,,,,
,,,,,,,,,,480,-0.0,1541,,,,,
,,,,,,,,,,481,-17.1,1537,,,,,
,,,,,,,,,,482,-21.9,1536,,,,,
,,,,,,,,,,483,-0.0,1539,,,,,
,,,,,,,,,,484,-46.1,1531,,,,,
