名前,全体,,,コード,役,回数,割合,順位,,回,スコア,,局,平均点数,回数,合計
,,,,,,,,,,525,+0.0,,,,,
,,,,,,,,,,526,-14.0,,,,,
,,,,,,,,,,527,-74.3,,,,,
,,,,,,,,,,528,+0.0,,,,,
,,,,,,,,,,529,+7.1,,,,,
,,,,,,,,,,530,-0.9,,,,,
,,,,,,,,,,531,+0.0,,,,,
,,,,,,,,,,532,+19.7,,,,,
,,,,,,,,,,533,+3.8,,,,,
,,,,,,,,,,534,+0.0,,,,,
,,,,,,,,,,535,+23.8,,,,,
,,,,,,,,,,536,+25.5,,,,,
,,,,,,,,,,537,+0.0,,,,,
,,,,,,,,,,538,+3.5,,,,,
,,,,,,,,,,539,-6.0,,,,,
,,,,,,,,,,540,+0.0,,,,,
,,,,,,,,,,541,-4.8,,,,,
,,,,,,,,,,542,+21.0,,,,,
,,,,,,,,,,543,+0.0,,,,,
,,,,,,,,,,544,+32.5,,,,,
,,,,,,,,,,545,+11.9,,,,,
,,,,,,,,,,546,+0.0,,,,,
,,,,,,,,,,547,+17.1,,,,,
,,,,,,,,,,548,+17.5,,,,,
,,,,,,,,,,549,+0.0,,,,,
,,,,,,,,,,550,+12.3,,,,,
,,,,,,,,,,551,+23.1,,,,,
,,,,,,,,,,552,+0.0,,,,,
,,,,,,,,,,553,+24.3,,,,,
,,,,,,,,,,554,+11.4,,,,,
,,,,,,,,,,555,+0.0,,,,,
,,,,,,,,,,556,-12.2,,,,,
,,,,,,,,,,557,-7.3,,,,,
