名前,全体,,,コード,役,回数,割合,順位,,回,スコア,R,,局,平均点数,回数,合計
,,,,,,,,,,365,-8.9,1602,,,,,
,,,,,,,,,,366,+0.0,1604,,,,,
,,,,,,,,,,367,-33.9,1598,,,,,
,,,,,,,,,,368,-32.3,1599,,,,,
,,,,,,,,,,369,+0.0,1605,,,,,
,,,,,,,,,,370,-0.5,1605,,,,,
,,,,,,,,,,371,-23.9,1601,,,,,
,,,,,,,,,,372,+0.0,1606,,,,,
,,,,,,,,,,373,+0.3,1606,,,,,
,,,,,,,,,,374,+37.4,1613,,,,,
,,,,,,,,,,375,+0.0,1606,,,,,
,,,,,,,,,,376,-49.0,1598,,,,,
,,,,,,,,,,377,-60.0,1596,,,,,
,,,,,,,,,,378,+0.0,1607,,,,,
,,,,,,,,,,379,-4.5,1606,,,,,
,,,,,,,,,,380,+24.2,1612,,,,,
,,,,,,,,,,381,+0.0,1607,,,,,
,,,,,,,,,,382,+49.4,1616,,,,,
,,,,,,,,,,383,+50.5,1617,,,,,
,,,,,,,,,,384,+0.0,1608,,,,,
,,,,,,,,,,385,+40.6,1615,,,,,
,,,,,,,,,,386,+51.8,1617,,,,,
,,,,,,,,,,387,+0.0,1608,,,,,
,,,,,,,,,,388,-12.2,1606,,,,,
,,,,,,,,,,389,+22.5,1612,,,,,
,,,,,,,,,,390,+0.0,1608,,,,,
,,,,,,,,,,391,+14.5,1611,,,,,
,,,,,,,,,,392,+13.7,1611,,,,,
,,,,,,,,,,393,+0.0,1609,,,,,
,,,,,,,,,,394,-8.7,1607,,,,,
,,,,,,,,,,395,-32.6,1603,,,,,
,,,,,,,,,,396,+0.0,1609,,,,,
,,,,,,,,,,397,+14.5,1611,,,,,
,,,,,,,,,,398,+1.8,1609,,,,,
,,,,,,,,,,399,+0.0,1609,,,,,
,,,,,,,,,,400,+49.9,1618,,,,,
,,,,,,,,,,401,+13.8,1611,,,,,
,,,,,,,,,,402,+0.0,1608,,,,,
,,,,,,,,,,403,-24.6,1603,,,,,
,,,,,,,,,,404,-21.6,1604,,,,,
,,,,,,,,,,405,+0.0,1607,,,,,
